product_id,product_name,category,price
200000,Product_0,Sports,49512
200001,Product_1,Home,16667
200002,Product_2,Clothing,20636
200003,Product_3,Sports,21861
200004,Product_4,Clothing,5194
200005,Product_5,Electronics,4502
200006,Product_6,Electronics,32080
200007,Product_7,Sports,12829
200008,Product_8,Clothing,34780
200009,Product_9,Home,39142
200010,Product_10,Accessories,10486
200011,Product_11,Accessories,28455
200012,Product_12,Accessories,44826
200013,Product_13,Sports,12547
200014,Product_14,Home,6183
200015,Product_15,Sports,46626
200016,Product_16,Sports,37199
200017,Product_17,Home,39772
200018,Product_18,Home,3895
200019,Product_19,Electronics,7044
200020,Product_20,Accessories,30057
200021,Product_21,Clothing,22518
200022,Product_22,Sports,20196
200023,Product_23,Accessories,40767
200024,Product_24,Clothing,4786
200025,Product_25,Electronics,5657
200026,Product_26,Home,9303
200027,Product_27,Home,41970
200028,Product_28,Clothing,48198
200029,Product_29,Clothing,13820
200030,Product_30,Electronics,34139
200031,Product_31,Sports,14917
200032,Product_32,Sports,16679
200033,Product_33,Clothing,32240
200034,Product_34,Clothing,21767
200035,Product_35,Clothing,37561
200036,Product_36,Accessories,5974
200037,Product_37,Accessories,48659
200038,Product_38,Electronics,16701
200039,Product_39,Electronics,27267
200040,Product_40,Electronics,5768
200041,Product_41,Home,21025
200042,Product_42,Clothing,39323
200043,Product_43,Electronics,9686
200044,Product_44,Sports,13317
200045,Product_45,Accessories,30310
200046,Product_46,Home,6422
200047,Product_47,Clothing,47061
200048,Product_48,Home,45348
200049,Product_49,Home,3624
200050,Product_50,Electronics,8382
200051,Product_51,Sports,1113
200052,Product_52,Home,49904
200053,Product_53,Electronics,43293
200054,Product_54,Sports,10102
200055,Product_55,Accessories,24660
200056,Product_56,Accessories,33177
200057,Product_57,Sports,36596
200058,Product_58,Home,47802
200059,Product_59,Home,25391
200060,Product_60,Clothing,20231
200061,Product_61,Clothing,42466
200062,Product_62,Accessories,31798
200063,Product_63,Sports,34645
200064,Product_64,Electronics,41678
200065,Product_65,Accessories,36830
200066,Product_66,Electronics,48716
200067,Product_67,Home,48603
200068,Product_68,Accessories,5871
200069,Product_69,Accessories,20618
200070,Product_70,Accessories,40557
200071,Product_71,Electronics,4017
200072,Product_72,Electronics,43104
200073,Product_73,Clothing,19739
200074,Product_74,Electronics,38832
200075,Product_75,Sports,28820
200076,Product_76,Home,2442
200077,Product_77,Electronics,48625
200078,Product_78,Home,8982
200079,Product_79,Accessories,29733
200080,Product_80,Home,46013
200081,Product_81,Electronics,45218
200082,Product_82,Electronics,37592
200083,Product_83,Sports,45896
200084,Product_84,Home,23453
200085,Product_85,Home,18607
