customer_id,name,city
100000,Customer_0,Bangalore
100001,Customer_1,Hyderabad
100002,Customer_2,Pune
100003,Customer_3,Hyderabad
100004,Customer_4,Pune
100005,Customer_5,Hyderabad
100006,Customer_6,Hyderabad
100007,Customer_7,Pune
100008,Customer_8,Chennai
100009,Customer_9,Hyderabad
100010,Customer_10,Chennai
100011,Customer_11,Bangalore
100012,Customer_12,Chennai
100013,Customer_13,Mumbai
100014,Customer_14,Chennai
100015,Customer_15,Pune
100016,Customer_16,Pune
100017,Customer_17,Hyderabad
100018,Customer_18,Bangalore
100019,Customer_19,Bangalore
100020,Customer_20,Hyderabad
100021,Customer_21,Chennai
100022,Customer_22,Hyderabad
100023,Customer_23,Chennai
100024,Customer_24,Chennai
100025,Customer_25,Delhi
100026,Customer_26,Chennai
100027,Customer_27,Delhi
100028,Customer_28,Delhi
100029,Customer_29,Mumbai
100030,Customer_30,Delhi
100031,Customer_31,Hyderabad
100032,Customer_32,Bangalore
100033,Customer_33,Hyderabad
100034,Customer_34,Hyderabad
100035,Customer_35,Bangalore
100036,Customer_36,Chennai
100037,Customer_37,Bangalore
100038,Customer_38,Pune
100039,Customer_39,Hyderabad
100040,Customer_40,Bangalore
100041,Customer_41,Mumbai
100042,Customer_42,Chennai
100043,Customer_43,Hyderabad
100044,Customer_44,Hyderabad
100045,Customer_45,Pune
100046,Customer_46,Bangalore
100047,Customer_47,Bangalore
100048,Customer_48,Mumbai
100049,Customer_49,Bangalore
100050,Customer_50,Bangalore
100051,Customer_51,Pune
100052,Customer_52,Pune
100053,Customer_53,Chennai
100054,Customer_54,Chennai
100055,Customer_55,Mumbai
100056,Customer_56,Pune
100057,Customer_57,Mumbai
100058,Customer_58,Pune
100059,Customer_59,Chennai
100060,Customer_60,Bangalore
100061,Customer_61,Delhi
100062,Customer_62,Hyderabad
100063,Customer_63,Mumbai
100064,Customer_64,Chennai
100065,Customer_65,Pune
100066,Customer_66,Hyderabad
100067,Customer_67,Delhi
100068,Customer_68,Delhi
100069,Customer_69,Pune
100070,Customer_70,Pune
100071,Customer_71,Pune
100072,Customer_72,Delhi
100073,Customer_73,Chennai
100074,Customer_74,Delhi
100075,Customer_75,Pune
100076,Customer_76,Bangalore
100077,Customer_77,Delhi
100078,Customer_78,Delhi
100079,Customer_79,Bangalore
100080,Customer_80,Mumbai
100081,Customer_81,Bangalore
100082,Customer_82,Delhi
100083,Customer_83,Bangalore
