order_id,customer_id,product_id,order_date,amount
1,142897,2069,2024-01-01 00:00:00,4612
2,133955,2096,2024-01-01 00:01:00,333
3,119584,2076,2024-01-01 00:02:00,702
4,145486,2053,2024-01-01 00:03:00,772
5,137618,2076,2024-01-01 00:04:00,2177
6,112998,2072,2024-01-01 00:05:00,2464
7,122482,2071,2024-01-01 00:06:00,2373
8,118049,2083,2024-01-01 00:07:00,4057
9,141641,2095,2024-01-01 00:08:00,1002
10,148908,2083,2024-01-01 00:09:00,4710
11,102030,2033,2024-01-01 00:10:00,1924
12,104389,2055,2024-01-01 00:11:00,1657
13,116902,2035,2024-01-01 00:12:00,4215
14,118402,2047,2024-01-01 00:13:00,1860
15,144145,2026,2024-01-01 00:14:00,4984
16,136562,2070,2024-01-01 00:15:00,946
17,147934,2012,2024-01-01 00:16:00,2711
18,141765,2038,2024-01-01 00:17:00,2680
19,137580,2048,2024-01-01 00:18:00,4715
20,122551,2093,2024-01-01 00:19:00,1700
21,109777,2059,2024-01-01 00:20:00,724
22,101895,2019,2024-01-01 00:21:00,3824
23,137520,2064,2024-01-01 00:22:00,646
24,147442,2084,2024-01-01 00:23:00,4317
25,143612,2015,2024-01-01 00:24:00,2131
26,145180,2016,2024-01-01 00:25:00,1707
27,122751,2077,2024-01-01 00:26:00,1535
28,117457,2062,2024-01-01 00:27:00,834
29,109242,2009,2024-01-01 00:28:00,3583
30,124117,2005,2024-01-01 00:29:00,573
31,135627,2054,2024-01-01 00:30:00,3443
32,148684,2014,2024-01-01 00:31:00,1624
33,129128,2007,2024-01-01 00:32:00,3193
34,148467,2064,2024-01-01 00:33:00,4994
35,125785,2085,2024-01-01 00:34:00,3103
36,142149,2001,2024-01-01 00:35:00,4049
37,139844,2015,2024-01-01 00:36:00,1894
38,131269,2040,2024-01-01 00:37:00,2459
39,131786,2042,2024-01-01 00:38:00,2875
40,104703,2083,2024-01-01 00:39:00,135
41,114388,2060,2024-01-01 00:40:00,3900
42,145989,2025,2024-01-01 00:41:00,4158
43,126771,2048,2024-01-01 00:42:00,539
44,138800,2099,2024-01-01 00:43:00,301
45,141448,2054,2024-01-01 00:44:00,4697
46,126984,2062,2024-01-01 00:45:00,1162
47,118543,2049,2024-01-01 00:46:00,1708
48,109438,2092,2024-01-01 00:47:00,2694
49,118760,2094,2024-01-01 00:48:00,4580
50,120763,2020,2024-01-01 00:49:00,202
51,139372,2067,2024-01-01 00:50:00,647
52,115037,2096,2024-01-01 00:51:00,1257
53,127862,2057,2024-01-01 00:52:00,2748
54,139433,2009,2024-01-01 00:53:00,3675
55,144560,2072,2024-01-01 00:54:00,2637
56,126571,2030,2024-01-01 00:55:00,1346
57,114977,2051,2024-01-01 00:56:00,2134
58,149441,2023,2024-01-01 00:57:00,3367
59,131805,2024,2024-01-01 00:58:00,2315
60,131621,2070,2024-01-01 00:59:00,4616
61,123883,2056,2024-01-01 01:00:00,1792
62,120044,2046,2024-01-01 01:01:00,3007
63,128994,2014,2024-01-01 01:02:00,3118
64,104162,2085,2024-01-01 01:03:00,1036
65,127519,2004,2024-01-01 01:04:00,4335
66,132875,2080,2024-01-01 01:05:00,198
67,116204,2033,2024-01-01 01:06:00,2335
68,100737,2062,2024-01-01 01:07:00,733
69,110352,2096,2024-01-01 01:08:00,4604
70,112389,2033,2024-01-01 01:09:00,2367
71,119186,2066,2024-01-01 01:10:00,2663
72,148876,2056,2024-01-01 01:11:00,642
73,144144,2093,2024-01-01 01:12:00,2775
74,139098,2068,2024-01-01 01:13:00,4252
75,121458,2030,2024-01-01 01:14:00,2894
76,120792,2089,2024-01-01 01:15:00,4406
77,103747,2071,2024-01-01 01:16:00,543
78,105672,2058,2024-01-01 01:17:00,3015
79,103793,2085,2024-01-01 01:18:00,1798
80,134779,2094,2024-01-01 01:19:00,3473
81,101673,2020,2024-01-01 01:20:00,4063
82,109071,2005,2024-01-01 01:21:00,2831
83,145810,2054,2024-01-01 01:22:00,4795
84,128374,2078,2024-01-01 01:23:00,4248
85,133903,2024,2024-01-01 01:24:00,139
86,105566,2010,2024-01-01 01:25:00,1665
87,107831,2094,2024-01-01 01:26:00,4680
88,108364,2042,2024-01-01 01:27:00,924
89,125212,2064,2024-01-01 01:28:00,1302
90,100402,2084,2024-01-01 01:29:00,2275
91,100612,2010,2024-01-01 01:30:00,102
92,107937,2065,2024-01-01 01:31:00,2587
93,130061,2030,2024-01-01 01:32:00,1963
94,135237,2082,2024-01-01 01:33:00,4578
95,115951,2077,2024-01-01 01:34:00,2018
96,105550,2064,2024-01-01 01:35:00,1830
97,124880,2091,2024-01-01 01:36:00,3636
98,131097,2049,2024-01-01 01:37:00,4659
99,114438,2002,2024-01-01 01:38:00,3214
100,125398,2008,2024-01-01 01:39:00,2452
101,104439,2067,2024-01-01 01:40:00,4231
102,113849,2082,2024-01-01 01:41:00,4022
103,133731,2013,2024-01-01 01:42:00,1835
104,148099,2060,2024-01-01 01:43:00,294
105,132548,2094,2024-01-01 01:44:00,4177
106,144431,2086,2024-01-01 01:45:00,4932
107,124388,2051,2024-01-01 01:46:00,791
108,135195,2030,2024-01-01 01:47:00,3521
109,103300,2071,2024-01-01 01:48:00,2475
110,113379,2021,2024-01-01 01:49:00,4323
111,106919,2091,2024-01-01 01:50:00,913
112,109892,2039,2024-01-01 01:51:00,4668
113,117705,2054,2024-01-01 01:52:00,3594
114,107186,2050,2024-01-01 01:53:00,4450
115,137283,2008,2024-01-01 01:54:00,476
116,129981,2050,2024-01-01 01:55:00,2251
117,141939,2016,2024-01-01 01:56:00,3555
118,145915,2025,2024-01-01 01:57:00,3138
119,126514,2060,2024-01-01 01:58:00,4217
120,133339,2045,2024-01-01 01:59:00,357
121,139892,2062,2024-01-01 02:00:00,2654
122,121595,2098,2024-01-01 02:01:00,2891
123,143471,2075,2024-01-01 02:02:00,3282
124,140898,2041,2024-01-01 02:03:00,1757
125,100006,2068,2024-01-01 02:04:00,1016
126,132097,2040,2024-01-01 02:05:00,1333
127,132029,2080,2024-01-01 02:06:00,1938
128,126395,2007,2024-01-01 02:07:00,2887
129,124003,2058,2024-01-01 02:08:00,1450
130,147596,2087,2024-01-01 02:09:00,2513
131,107133,2034,2024-01-01 02:10:00,3182
132,107888,2039,2024-01-01 02:11:00,4699
133,122162,2047,2024-01-01 02:12:00,1459
134,108798,2002,2024-01-01 02:13:00,1509
135,132095,2060,2024-01-01 02:14:00,2361
136,138423,2030,2024-01-01 02:15:00,3532
137,123937,2066,2024-01-01 02:16:00,4663
138,148955,2052,2024-01-01 02:17:00,3599
139,143023,2061,2024-01-01 02:18:00,4962
140,143222,2029,2024-01-01 02:19:00,4569
141,118560,2073,2024-01-01 02:20:00,3803
142,109869,2051,2024-01-01 02:21:00,4714
143,126768,2048,2024-01-01 02:22:00,1791
144,100489,2002,2024-01-01 02:23:00,4442
145,138382,2043,2024-01-01 02:24:00,2502
146,134804,2097,2024-01-01 02:25:00,1578
147,129432,2067,2024-01-01 02:26:00,3926
148,109080,2054,2024-01-01 02:27:00,1090
149,123350,2034,2024-01-01 02:28:00,4232
150,124616,2043,2024-01-01 02:29:00,1301
151,106613,2056,2024-01-01 02:30:00,967
152,109986,2022,2024-01-01 02:31:00,460
153,112022,2025,2024-01-01 02:32:00,4860
154,124885,2046,2024-01-01 02:33:00,2052
155,137869,2091,2024-01-01 02:34:00,2067
156,113092,2005,2024-01-01 02:35:00,1149
157,129632,2005,2024-01-01 02:36:00,4352
158,141834,2093,2024-01-01 02:37:00,2004
159,133032,2090,2024-01-01 02:38:00,3391
160,123190,2080,2024-01-01 02:39:00,3393
161,103920,2056,2024-01-01 02:40:00,2404
162,132555,2098,2024-01-01 02:41:00,971
163,147486,2065,2024-01-01 02:42:00,3729
164,104733,2092,2024-01-01 02:43:00,801
165,120597,2084,2024-01-01 02:44:00,4626
166,109073,2060,2024-01-01 02:45:00,1011
167,136326,2027,2024-01-01 02:46:00,653
168,143247,2029,2024-01-01 02:47:00,2329
169,123834,2006,2024-01-01 02:48:00,3421
170,124541,2079,2024-01-01 02:49:00,771
171,138440,2083,2024-01-01 02:50:00,4843
172,123413,2071,2024-01-01 02:51:00,753
173,102383,2096,2024-01-01 02:52:00,2870
174,113047,2026,2024-01-01 02:53:00,4151
175,112784,2090,2024-01-01 02:54:00,2374
176,123846,2084,2024-01-01 02:55:00,2436
177,107013,2084,2024-01-01 02:56:00,2473
178,140064,2043,2024-01-01 02:57:00,3027
179,112181,2075,2024-01-01 02:58:00,748
180,117908,2019,2024-01-01 02:59:00,4972
181,134497,2039,2024-01-01 03:00:00,316
182,101608,2067,2024-01-01 03:01:00,713
183,114719,2045,2024-01-01 03:02:00,2041
184,127406,2088,2024-01-01 03:03:00,3157
185,138941,2056,2024-01-01 03:04:00,4613
186,138287,2058,2024-01-01 03:05:00,464
187,128976,2028,2024-01-01 03:06:00,4470
188,117292,2009,2024-01-01 03:07:00,3289
189,119635,2068,2024-01-01 03:08:00,2880
190,116343,2012,2024-01-01 03:09:00,1344
191,115765,2068,2024-01-01 03:10:00,4941
192,122642,2041,2024-01-01 03:11:00,787
193,133883,2053,2024-01-01 03:12:00,3112
194,124187,2086,2024-01-01 03:13:00,4656
195,107859,2011,2024-01-01 03:14:00,3099
196,127193,2064,2024-01-01 03:15:00,4567
197,119954,2063,2024-01-01 03:16:00,3362
198,124065,2093,2024-01-01 03:17:00,3750
199,106549,2011,2024-01-01 03:18:00,4640
200,113626,2054,2024-01-01 03:19:00,2859
201,136345,2037,2024-01-01 03:20:00,4214
202,112055,2022,2024-01-01 03:21:00,1500
203,148154,2054,2024-01-01 03:22:00,4710
204,122298,2081,2024-01-01 03:23:00,2162
205,117510,2031,2024-01-01 03:24:00,3259
206,139719,2049,2024-01-01 03:25:00,3953
207,106964,2050,2024-01-01 03:26:00,2380
208,122270,2037,2024-01-01 03:27:00,4274
209,101699,2024,2024-01-01 03:28:00,983
210,127625,2012,2024-01-01 03:29:00,3449
211,115966,2010,2024-01-01 03:30:00,726
212,146440,2015,2024-01-01 03:31:00,1884
213,117635,2045,2024-01-01 03:32:00,622
214,103687,2089,2024-01-01 03:33:00,3152
215,126091,2084,2024-01-01 03:34:00,244
216,116360,2015,2024-01-01 03:35:00,978
217,117156,2025,2024-01-01 03:36:00,916
218,120876,2023,2024-01-01 03:37:00,347
219,148925,2016,2024-01-01 03:38:00,1097
220,104688,2090,2024-01-01 03:39:00,4991
221,145071,2049,2024-01-01 03:40:00,4810
222,124316,2049,2024-01-01 03:41:00,2308
223,122326,2073,2024-01-01 03:42:00,4802
224,112531,2019,2024-01-01 03:43:00,1182
225,122112,2046,2024-01-01 03:44:00,4798
226,130987,2092,2024-01-01 03:45:00,1326
227,148022,2078,2024-01-01 03:46:00,3641
228,113753,2082,2024-01-01 03:47:00,2798
229,141449,2012,2024-01-01 03:48:00,4528
230,141964,2046,2024-01-01 03:49:00,3541
231,148536,2069,2024-01-01 03:50:00,4643
232,122672,2021,2024-01-01 03:51:00,1683
233,122546,2092,2024-01-01 03:52:00,1131
234,143998,2025,2024-01-01 03:53:00,4754
235,117104,2027,2024-01-01 03:54:00,4715
236,109908,2099,2024-01-01 03:55:00,724
237,128843,2081,2024-01-01 03:56:00,2106
238,126980,2099,2024-01-01 03:57:00,1569
239,103071,2093,2024-01-01 03:58:00,1479
240,129716,2075,2024-01-01 03:59:00,2010
241,119008,2061,2024-01-01 04:00:00,4002
242,142547,2027,2024-01-01 04:01:00,2622
243,127303,2071,2024-01-01 04:02:00,930
244,132888,2032,2024-01-01 04:03:00,1900
245,110511,2034,2024-01-01 04:04:00,552
246,137942,2076,2024-01-01 04:05:00,3919
247,132338,2055,2024-01-01 04:06:00,2785
248,115089,2050,2024-01-01 04:07:00,3009
249,124052,2030,2024-01-01 04:08:00,1813
250,130897,2033,2024-01-01 04:09:00,3174
251,116798,2053,2024-01-01 04:10:00,4670
252,144010,2071,2024-01-01 04:11:00,4847
253,101437,2037,2024-01-01 04:12:00,555
254,124001,2055,2024-01-01 04:13:00,2334
255,104102,2019,2024-01-01 04:14:00,198
256,131690,2011,2024-01-01 04:15:00,1687
257,121897,2014,2024-01-01 04:16:00,633
258,118360,2048,2024-01-01 04:17:00,1604
259,113889,2058,2024-01-01 04:18:00,3706
260,147000,2090,2024-01-01 04:19:00,3289
261,125459,2033,2024-01-01 04:20:00,1013
262,148702,2008,2024-01-01 04:21:00,2705
263,144633,2073,2024-01-01 04:22:00,584
264,146451,2015,2024-01-01 04:23:00,1171
265,136600,2022,2024-01-01 04:24:00,3501
266,120290,2008,2024-01-01 04:25:00,3372
267,116800,2026,2024-01-01 04:26:00,3167
268,101221,2091,2024-01-01 04:27:00,417
269,140070,2096,2024-01-01 04:28:00,4886
270,130672,2037,2024-01-01 04:29:00,1382
271,136838,2088,2024-01-01 04:30:00,2748
272,113975,2024,2024-01-01 04:31:00,3546
273,136398,2096,2024-01-01 04:32:00,397
274,122870,2033,2024-01-01 04:33:00,2036
275,113965,2065,2024-01-01 04:34:00,4612
276,106485,2063,2024-01-01 04:35:00,4455
277,140155,2098,2024-01-01 04:36:00,3006
278,116598,2069,2024-01-01 04:37:00,1644
279,116281,2076,2024-01-01 04:38:00,718
280,103288,2095,2024-01-01 04:39:00,940
281,108457,2068,2024-01-01 04:40:00,4806
282,130418,2075,2024-01-01 04:41:00,2610
283,108035,2050,2024-01-01 04:42:00,1531
284,132365,2056,2024-01-01 04:43:00,837
285,115218,2038,2024-01-01 04:44:00,3082
286,116666,2034,2024-01-01 04:45:00,2064
287,149545,2066,2024-01-01 04:46:00,1212
288,142738,2087,2024-01-01 04:47:00,3475
289,140376,2046,2024-01-01 04:48:00,1592
290,141990,2052,2024-01-01 04:49:00,1963
291,135077,2086,2024-01-01 04:50:00,1330
292,123391,2071,2024-01-01 04:51:00,329
293,148775,2059,2024-01-01 04:52:00,3880
294,132481,2059,2024-01-01 04:53:00,1719
295,144153,2006,2024-01-01 04:54:00,2872
